timestamp,from_id,to_id,range,std
1785983400.92,8,0,4.6393256187438965,0.1
1785983400.92,8,1,2.811422824859619,0.1
1785983400.92,8,2,4.002601623535156,0.1
1785983400.92,8,3,5.520817756652832,0.1
1785983400.92,9,0,4.5975799560546875,0.1
1785983400.92,9,1,2.530677080154419,0.1
1785983400.92,9,2,4.293856143951416,0.1
1785983400.92,9,3,5.883072376251221,0.1
1785983400.93,8,0,4.688325881958008,0.1
1785983400.93,8,1,2.820422887802124,0.1
1785983400.93,8,2,4.062601566314697,0.1
1785983400.93,8,3,5.531817436218262,0.1
1785983400.93,9,0,4.595580101013184,0.1
1785983400.93,9,1,2.526677131652832,0.1
1785983400.93,9,2,4.282855987548828,0.1
1785983400.93,9,3,5.895071983337402,0.1
1785983400.94,8,0,4.67132568359375,0.1
1785983400.94,8,1,2.7934229373931885,0.1
1785983400.94,8,2,4.051601886749268,0.1
1785983400.94,8,3,5.6088175773620605,0.1
1785983400.94,9,0,4.544579982757568,0.1
1785983400.94,9,1,2.544677257537842,0.1
1785983400.94,9,2,4.275856018066406,0.1
1785983400.94,9,3,5.854072093963623,0.1
1785983400.95,8,0,4.688325881958008,0.1
1785983400.95,8,1,2.823422908782959,0.1
1785983400.95,8,2,3.9986019134521484,0.1
1785983400.95,8,3,5.54281759262085,0.1
1785983400.95,9,0,4.609580039978027,0.1
1785983400.95,9,1,2.5676772594451904,0.1
1785983400.95,9,2,4.300856113433838,0.1
1785983400.95,9,3,5.847072124481201,0.1
1785983400.96,8,0,4.658325672149658,0.1
1785983400.96,8,1,2.8394229412078857,0.1
1785983400.96,8,2,4.074601650238037,0.1
1785983400.96,8,3,5.551817417144775,0.1
1785983400.96,9,0,4.57457971572876,0.1
1785983400.96,9,1,2.528677225112915,0.1
1785983400.96,9,2,4.344856262207031,0.1
1785983400.96,9,3,5.867072105407715,0.1
1785983400.97,8,0,4.614326000213623,0.1
1785983400.97,8,1,2.816422939300537,0.1
1785983400.97,8,2,4.065601825714111,0.1
1785983400.97,8,3,5.520817756652832,0.1
1785983400.97,9,0,4.565579891204834,0.1
1785983400.97,9,1,2.5466771125793457,0.1
1785983400.97,9,2,4.3308563232421875,0.1
1785983400.97,9,3,5.8920722007751465,0.1
1785983400.98,8,0,4.637325763702393,0.1
1785983400.98,8,1,2.813422918319702,0.1
1785983400.98,8,2,4.067601680755615,0.1
1785983400.98,8,3,5.5588178634643555,0.1
1785983400.98,9,0,4.567579746246338,0.1
1785983400.98,9,1,2.5466771125793457,0.1
1785983400.98,9,2,4.367856025695801,0.1
